text,productName,id,feature1,feature2,feature3,feature4,feature5,price,image
"Energy-efficient 9W LED bulb, lasts 25,000 hours, reduces costs, warm white glow, eco-friendly recyclable packaging, durable design.","Eco LED Bulb","P2001","9W low energy usage","25,000-hour lifespan","Warm white light output","Low heat emission","Recyclable eco-friendly packaging",199,"ledBulb"
"Inverter AC with 1.5-ton capacity, 5-star rating, smart cooling, eco refrigerant, silent operation, efficient power consumption.","Green Inverter AC","P2002","1.5-ton cooling capacity","5-star energy rating","Smart temperature control","Eco-friendly refrigerant gas","Silent operation mode",38999,"AC"
"Reusable 750ml BPA-free bottle, lightweight, leakproof, made from recycled plastic, ergonomic grip, ideal for everyday hydration.","Eco Water Bottle","P2003","750ml high-capacity storage","BPA-free food-safe material","Leakproof with secure lid","Recycled plastic build","Lightweight ergonomic grip",499,"bottle"
"Sustainable wooden table, reclaimed wood, termite-resistant, modern style, long-lasting durability, premium natural finish, eco-conscious.","Sustainable Wooden Table","P2004","Made from reclaimed wood","Termite-resistant coating","Modern aesthetic design","Highly durable construction","Eco-friendly natural polish",5999,"table"
"Biodegradable phone charging cable, 1.2m, USB-C fast charge, durable, tangle-free, plant-based materials, plastic-free packaging.","Eco Charging Cable","P2005","1.2m standard length","USB-C fast charging","Durable reinforced structure","Tangle-free braided cable","Plant-based biodegradable material",799,"cable"
"Smartphone with 6.5-inch display, 4500mAh battery, 108MP camera, recycled aluminum body, energy-efficient processor, eco-conscious.","Eco Smartphone","P2006","6.5-inch HD+ display","4500mAh long battery","108MP high-resolution camera","Recycled aluminum frame","Energy-efficient processor",44999,"smartphone"
"Solar-powered outdoor motion light, 15W, weatherproof, auto dusk-to-dawn sensor, rechargeable battery, energy-saving security lighting.","Solar Motion Light","P2007","15W solar panel power","Weatherproof design","Dusk-to-dawn auto sensor","Rechargeable lithium battery","Motion detection activation",1499,"solar"
"Organic cotton bedsheets, queen size, breathable, naturally dyed, chemical-free, soft durable fabric, sustainable sleep choice.","Organic Cotton Bedsheets","P2008","Queen size premium fabric","Breathable skin-friendly material","Naturally dyed color","Chemical-free safe texture","Soft and durable",2499,"bedsheet"
"Compostable bamboo toothbrush, biodegradable handle, soft BPA-free bristles, antibacterial, eco-packaging, plastic-free, zero-waste product.","Bamboo Toothbrush","P2009","Biodegradable bamboo handle","Soft BPA-free bristles","Antibacterial natural protection","Eco-friendly compostable packaging","Plastic-free sustainable product",299,"brush"
"Notebook made from 100% recycled paper, 120 pages, eco-friendly ink, durable binding, sustainable writing and sketching option.","Recycled Paper Notebook","P2010","100% recycled paper","120 pages total","Eco-friendly ink printing","Durable stitched binding","Sustainable office stationery",349,"book"
"Plant-based biodegradable detergent, phosphate-free, non-toxic, 1L bottle, gentle on skin, removes stains, eco-friendly packaging.","Green Laundry Detergent","P2011","Phosphate-free gentle formula","Non-toxic biodegradable blend","1L large bottle","Tough stain removal","Eco-friendly plastic-free packaging",699,"laudnary"
"Natural loofah kitchen sponge, coconut fibers, highly absorbent, compostable, non-toxic, durable, ideal for eco-friendly cleaning.","Natural Loofah Sponge","P2012","Natural loofah sponge","Coconut fiber material","Highly absorbent design","Compostable zero waste","Non-toxic and safe",199,"loofah"
"Compostable garbage bags, made from cornstarch, 50L capacity, extra strong, tear-resistant, biodegradable, sustainable waste management.","Compostable Trash Bags","P2013","Made from cornstarch","50L high-capacity","Tear-resistant durable design","Biodegradable eco-friendly","Extra strong material",399,"plasticBag"
"Smart energy-saving power strip, 6 sockets, auto power-off, surge protection, reduces standby waste, efficient home device.","Smart Eco Power Strip","P2014","6 universal sockets","Auto power-off feature","Surge protection built-in","Reduces standby power waste","Energy-efficient design",1299,"strip"
"Eco-friendly ceiling fan with energy-efficient BLDC motor, 3 sleek aerodynamic blades, noiseless operation, high air delivery, sustainable materials.","Eco Ceiling Fan","P2015","BLDC motor for low energy use","Noiseless operation","Aerodynamic 3-blade design","High air delivery efficiency","Made from recyclable materials",3499,"fan"
"Sustainable ergonomic chair with recycled wood frame, breathable fabric, adjustable height, sturdy build, eco-friendly cushioning.","Eco Chair","P2016","Recycled wood frame","Breathable fabric upholstery","Adjustable height","Sturdy and durable build","Eco-friendly cushioning",5999,"chair"
